Red Side
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
InfantryUnit,Grunt,100
RangedUnit,Spearman,100
MageUnit,Sorcerer,100
CavalryUnit,Raider,100
CommanderUnit,Gul´dan,100
CavalryUnit,Raider,100
CommanderUnit,Gul´dan,100
CavalryUnit,Raider,100
CommanderUnit,Gul´dan,100
CavalryUnit,Raider,100
CommanderUnit,Gul´dan,100
CavalryUnit,Raider,100
CommanderUnit,Gul´dan,100
