Blue Side
CavalryUnit,Knight,100
CommanderUnit,Mountain King,100
CavalryUnit,Knight,100
CommanderUnit,Mountain King,100
CavalryUnit,Knight,100
CommanderUnit,Mountain King,100
CavalryUnit,Knight,100
CommanderUnit,Mountain King,100
CavalryUnit,Knight,100
CommanderUnit,Mountain King,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
InfantryUnit,Footman,100
RangedUnit,Archer,100
